id;date;feat1;feat2;feat3;feat4;feat5;feat6;feat7;feat8;feat9;feat10;feat11;feat12;feat13;feat14;feat15;feat16;feat17;feat18;feat19;feat20;feat21;feat22;feat23;feat24;feat25;feat26;feat27;feat28;feat29;target;target2
1;25.05.2022;1;30000;AUTONOMIC;2300;49;3;0,75;1425;834;52;;;;5000;64;;90;15;;UNIVERSITY_AUTONOMIC;14;4;15;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-3401
2;02.04.2022;;;;;;1;0,5;1049;29699;3;4600;;;30000;40;;102;22;39;BACCALAUREATE_FULL_TIME;21;2;50;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-2029
3;19.03.2022;0;60000;AUTONOMIC;500;48;1;0,5;113;2022;2;;;;;;;;;;BASIC_EDUCATION_AUTONOMIC;30;2;93;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-638
4;15.04.2022;1;10000;AUTONOMIC;2000;29;2;0,666666667;107;950;59;2000;;;3674;23;;107;1;23;BACCALAUREATE_AUTONOMIC;28;3;11;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-4209
5;01.01.2022;;;;;;6;0,857142857;119;200;45;;;;1850;;;119;18;;UNIVERSITY_FULL_TIME;30;17;92;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-4314
6;03.03.2022;0;11600;FULL_TIME;6500;37;1;0,5;839;0;92;100;;;937;339;;279;9;15;UNIVERSITY_FULL_TIME;14;2;11;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;0;1421
7;14.02.2022;;;;;;2;0,666666667;1247;0;60;500;;71;2560;320;;17;8;85;BASIC_EDUCATION_FULL_TIME;30;3;13;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;1;4118
8;05.01.2022;1;8000;FULL_TIME;3500;39;1;0,5;1245;540;35;55286;;3;540;77;;152;17;;BACCALAUREATE_FULL_TIME;30;2;12;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;0;5878
9;07.02.2022;;;;;;1;0,5;281;1520;44;499;;;595;99;;281;20;42;BASIC_EDUCATION_AUTONOMIC;30;3;25;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-3282
10;01.03.2022;0;9000;FULL_TIME;4000;50;4;0,8;469;2200;81;1000;;;2000;35;;91;36;35;BACCALAUREATE_FULL_TIME;30;5;14;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;0;9864
11;03.04.2022;0;25000;AUTONOMIC;18000;40;0;0;681;475;66;7000;;0;65000;43;;340;14;45;UNIVERSITY_AUTONOMIC;28;5;74;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-2558
12;09.02.2022;0;10000;FULL_TIME;2000;32;0;0;153;0;14;;;;2100;;;153;13;;UNIVERSITY_FULL_TIME;7;2;14;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;0;5622
13;10.02.2022;0;20000;FULL_TIME;3000;33;0;0;223;1100;53;;;;1100;;;223;3;;UNIVERSITY_FULL_TIME;30;1;17;-0,39840109;-0,917211302;-0,909631995;0,415415013;-0,406736643;0,913545458;0;278
14;15.03.2022;0;32000;FULL_TIME;3000;52;4;0,666666667;1320;1323;99;;;;1000;245;;42;16;;UNIVERSITY_FULL_TIME;21;8;69;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-2648
15;07.04.2022;1;16500;FULL_TIME;8400;30;3;0,75;1407;1947;33;;;0;1947;619;;205;17;;BACCALAUREATE_FULL_TIME;30;4;38;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-1104
16;03.01.2022;1;10000;FULL_TIME;7000;52;0;0;1150;10552;95;;;;1500;;;168;16;;BACCALAUREATE_FULL_TIME;21;1;9;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-3363
17;24.03.2022;0;15000;FULL_TIME;4800;24;0;0;1414;0;30;;;;218;1138;;289;3;;BACCALAUREATE_FULL_TIME;18;2;36;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;9377
18;28.05.2022;1;9000;AUTONOMIC;7000;30;0;0;1316;0;inf;23742;;74;23232;174;;;;;BASIC_EDUCATION_AUTONOMIC;30;1;16;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-2738
19;21.05.2022;0;12000;FULL_TIME;6000;33;0;0;1030;1979;42;3980;;;5000;45;;340;2;45;UNIVERSITY_FULL_TIME;28;10;109;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;1;2862
20;30.03.2022;0;7500;AUTONOMIC;4500;40;1;0,5;1126;8789;48;;;;43932;92;;225;13;;BASIC_EDUCATION_AUTONOMIC;21;2;11;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-2500
21;23.04.2022;1;25000;RETIRED;5000;66;1;0,5;1400;7432;52;;;;3000;;;37;8;;UNIVERSITY_RETIRED;15;4;28;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;1221
22;29.01.2022;0;4000;FULL_TIME;1500;25;6;0,857142857;536;1267;83;;;0;1000;268;;110;25;;BASIC_EDUCATION_FULL_TIME;21;7;9;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;7285
23;27.01.2022;1;9000;FULL_TIME;2000;47;0;0;1178;600;83;4085;;;600;85;;64;10;65;UNIVERSITY_FULL_TIME;20;1;32;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;3862
24;15.01.2022;1;9500;FULL_TIME;3500;31;0;0;1354;5586;16;;;0;12000;379;;210;98;;BASIC_EDUCATION_FULL_TIME;8;1;2;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-1141
25;10.01.2022;0;8200;FULL_TIME;2000;25;1;0,5;257;4428;27;;;;6396;634;;257;78;;BACCALAUREATE_FULL_TIME;30;7;63;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-2224
26;03.04.2022;0;10000;FULL_TIME;1000;28;3;0,75;183;5871;43;;;;5000;712;;183;6;;BACCALAUREATE_FULL_TIME;30;4;46;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;-4000
27;07.03.2022;1;7000;FULL_TIME;5000;27;0;0;1008;2979;51;;;0;500;793;;131;1;;UNIVERSITY_FULL_TIME;18;1;2;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;3556
28;19.05.2022;1;250000;AUTONOMIC;2000;46;0;0;1384;8855;46;;;3;21000;;;262;112;;BASIC_EDUCATION_AUTONOMIC;18;1;28;-0,631087944;-0,775711291;-0,909631995;0,415415013;-0,406736643;0,913545458;0;8497
29;11.05.2022;;;;;;0;0;47;4124;10;;;;3220;;;47;23;;UNIVERSITY_AUTONOMIC;28;1;16;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;1;-860
30;04.02.2022;1;19000;FULL_TIME;1500;44;2;0,666666667;907;0;76;;;0;5222;335;;;6;;UNIVERSITY_FULL_TIME;18;3;15;-0,816969893;-0,576680322;-0,909631995;0,415415013;-0,406736643;0,913545458;0;8758
